epoch,trn_loss,val_loss,trn_f1,val_f1,trn_acc,val_acc
1,0.4090,0.2348,0.8937,0.9804,0.8101,0.9615
2,0.2742,0.2364,0.9690,0.9804,0.9399,0.9615
3,0.2957,0.1653,0.9690,0.9804,0.9399,0.9615
4,0.2690,0.1597,0.9690,0.9804,0.9399,0.9615
5,0.2319,0.1351,0.9690,0.9804,0.9399,0.9615
6,0.2062,0.1049,0.9690,0.9804,0.9399,0.9615
7,0.1933,0.0897,0.9690,0.9804,0.9399,0.9615
8,0.1843,0.0769,0.9690,0.9804,0.9399,0.9615
9,0.1682,0.0744,0.9690,0.9804,0.9399,0.9615
10,0.1420,0.0746,0.9676,0.9901,0.9375,0.9808
11,0.1244,0.0761,0.9714,0.9901,0.9447,0.9808
12,0.1114,0.0496,0.9747,0.9901,0.9519,0.9808
13,0.1132,0.0553,0.9758,1.0000,0.9543,1.0000
14,0.1111,0.0767,0.9759,0.9899,0.9543,0.9808
15,0.1050,0.0775,0.9796,0.9899,0.9615,0.9808
16,0.0928,0.0432,0.9847,0.9899,0.9712,0.9808
17,0.0802,0.0192,0.9885,1.0000,0.9784,1.0000
18,0.0708,0.0107,0.9873,1.0000,0.9760,1.0000
19,0.0604,0.0115,0.9898,1.0000,0.9808,1.0000
20,0.0523,0.0101,0.9936,1.0000,0.9880,1.0000
21,0.0605,0.0106,0.9886,1.0000,0.9784,1.0000
22,0.0642,0.0271,0.9898,0.9901,0.9808,0.9808
23,0.0871,0.0515,0.9811,0.9899,0.9639,0.9808
24,0.0482,0.3808,0.9924,0.9804,0.9856,0.9615
25,0.4458,0.0853,0.9538,0.9804,0.9135,0.9615
26,0.1365,0.0383,0.9677,0.9804,0.9375,0.9615
27,0.1188,0.0343,0.9749,1.0000,0.9519,1.0000
28,0.1023,0.0840,0.9786,0.9899,0.9591,0.9808
29,0.0854,0.0504,0.9873,0.9899,0.9760,0.9808
30,0.0749,0.0567,0.9873,0.9899,0.9760,0.9808
31,0.0601,0.1053,0.9898,0.9899,0.9808,0.9808
32,0.0706,0.0704,0.9873,0.9899,0.9760,0.9808
33,0.0478,0.0941,0.9924,0.9899,0.9856,0.9808
34,0.0464,0.0700,0.9949,0.9899,0.9904,0.9808
35,0.0375,0.1317,0.9962,0.9899,0.9928,0.9808
36,0.0672,0.0542,0.9873,0.9899,0.9760,0.9808
37,0.0386,0.1013,0.9962,0.9899,0.9928,0.9808
38,0.0359,0.1565,0.9962,0.9899,0.9928,0.9808
39,0.0337,0.1742,0.9962,0.9899,0.9928,0.9808
40,0.0298,0.0967,0.9962,0.9899,0.9928,0.9808
41,0.0340,0.0711,0.9962,0.9899,0.9928,0.9808
42,0.0312,0.0884,0.9962,0.9899,0.9928,0.9808
43,0.0281,0.1493,0.9962,0.9899,0.9928,0.9808
44,0.0300,0.1511,0.9962,0.9899,0.9928,0.9808
45,0.0261,0.1694,0.9962,0.9899,0.9928,0.9808
46,0.0264,0.1884,0.9962,0.9899,0.9928,0.9808
47,0.0238,0.1891,0.9962,0.9899,0.9928,0.9808
48,0.0227,0.1783,0.9962,0.9899,0.9928,0.9808
49,0.0261,0.1217,0.9962,0.9899,0.9928,0.9808
50,0.0239,0.2227,0.9962,0.9899,0.9928,0.9808
